Concurrency,Service Workload (message_size),Heap Size,Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
200,7919,500MB,UseSerialGC,13.00639901,235,19,23,36,128,-2.79758644
200,7919,1GB,UseConcMarkSweepGC,12.96309496,216,18,22,35,125,-2.961707596
200,7919,1GB,UseG1GC,14.05596606,287,19,22,34,100,-3.201989252
200,7919,1GB,UseParallelGC,12.20946121,209,17,20,33,128,-2.768500264
200,7919,1GB,UseSerialGC,12.7007737,1008,17,21,33,99,-2.945385473
200,7919,4GB,UseConcMarkSweepGC,13.23692124,225,19,26,38,117,-2.870186122
200,7919,4GB,UseG1GC,13.31766332,242,18,22,35,87,-2.89576348
200,7919,4GB,UseParallelGC,12.48328948,231,16,20,31,59,-3.02224054
200,7919,4GB,UseSerialGC,12.35206035,176,16,19,30,93,-3.145649628
500,541,100MB,UseConcMarkSweepGC,31.12645913,333,39,44,65,113,-3.785112312
500,541,100MB,UseG1GC,40.62457062,492,58,70,112,203,-2.874090553
500,541,100MB,UseParallelGC,31.01330701,239,38,43,66,98,-3.510231071
500,541,100MB,UseSerialGC,30.38011738,206,37,41,61,99,-3.688875341
500,541,200MB,UseConcMarkSweepGC,29.38282738,257,36,40,59,146,-3.830449584
500,541,200MB,UseG1GC,32.05132405,157,40,44,61,89,-4.519543114
500,541,200MB,UseParallelGC,29.07415207,115,35,38,53,82,-4.725862333
500,541,200MB,UseSerialGC,29.55799656,210,36,39,60,129,-3.492285993
500,541,500MB,UseConcMarkSweepGC,31.27038327,172,39,43,62,99,-3.723001834
500,541,500MB,UseG1GC,33.70855871,242,41,45,62,88,-4.668937648
500,541,500MB,UseParallelGC,30.12878413,141,36,40,57,91,-4.377627101
500,541,500MB,UseSerialGC,29.6000386,248,37,41,60,102,-3.864392575
500,541,1GB,UseConcMarkSweepGC,30.37559738,173,37,41,57,89,-4.432551729
500,541,1GB,UseG1GC,32.42005242,193,39,43,58,88,-4.760489329
500,541,1GB,UseParallelGC,29.23555724,139,35,38,54,88,-3.964821429
500,541,1GB,UseSerialGC,29.03226103,161,35,38,56,99,-3.90898551
500,541,4GB,UseConcMarkSweepGC,30.76652277,180,43,49,64,98,-5.260285498
500,541,4GB,UseG1GC,32.68745069,165,39,42,57,86,-4.683631533
500,541,4GB,UseParallelGC,27.86996687,174,32,35,54,91,-3.606404125
500,541,4GB,UseSerialGC,29.3038893,122,34,38,60,94,-3.295553894
500,7919,100MB,UseConcMarkSweepGC,33.93381493,1871,53,66,150,464,-1.881299947
500,7919,100MB,UseG1GC,45.48086548,1446,62,96,500,897,-0.7260945366
500,7919,100MB,UseParallelGC,32.58700959,1365,50,66,168,475.002,-1.625770084
500,7919,100MB,UseSerialGC,35.07857208,1237,50,67,276,777,-0.9341872343
500,7919,200MB,UseConcMarkSweepGC,32.96109196,213,40,45,63,92,-4.232269727
500,7919,200MB,UseG1GC,34.8001228,193,44,48,66,97,-4.437200718
500,7919,200MB,UseParallelGC,31.6987757,186,39,43,61,92,-4.138033048
500,7919,200MB,UseSerialGC,31.63590464,231,39,42,63,99,-3.47997589
500,7919,500MB,UseConcMarkSweepGC,32.96689297,155,41,44,63,88,-4.174100401
500,7919,500MB,UseG1GC,35.44988345,246,43,47,64,93,-4.654471839
500,7919,500MB,UseParallelGC,32.72438172,208,40,44,66,102,-3.587915457
500,7919,500MB,UseSerialGC,32.32483632,203,41,44,62,95,-4.095078751
500,7919,1GB,UseConcMarkSweepGC,32.4966455,195,40,43,60,94,-4.284948291
500,7919,1GB,UseG1GC,34.10596411,1038,42,46,65,96,-3.936030688
500,7919,1GB,UseParallelGC,32.15515416,163,39,43,61,88,-3.987495744
500,7919,1GB,UseSerialGC,31.64016164,266,40,44,65,97,-3.59069814
500,7919,4GB,UseConcMarkSweepGC,33.76871577,202,47,52,67,96,-5.642779271
500,7919,4GB,UseG1GC,34.78841479,156,41,45,61,88,-4.690199703
500,7919,4GB,UseParallelGC,31.00727601,238,36,39,58,90,-3.656075344
500,7919,4GB,UseSerialGC,30.66023066,143,36,40,59,92,-3.725952395
