Concurrency,Service Workload (message_size) Bytes,Heap Size (MB),Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
100,10240,4096,UseG1GC,9.850958851,204,17,24,47,92,-2.247385805
100,10240,4096,UseParallelGC,9.313076313,214,17,25,56,107,-1.716554776
100,10240,4096,UseSerialGC,9.247245247,186,17,25,54,100,-1.843117234
200,50,200,UseConcMarkSweepGC,11.70584271,188,17,21,34,156,-2.730575452
200,50,200,UseG1GC,12.27052127,231,19,23,43,163,-2.327406894
200,50,200,UseParallelGC,11.21822322,206,16,20,32,136,-3.015085638
200,50,200,UseSerialGC,11.44815445,233,17,20,32,132,-2.742988694
200,50,500,UseConcMarkSweepGC,12.10900311,218,19,27,78,166,-1.349255873
200,50,500,UseG1GC,12.41389941,243,20,27,75,160,-1.398099093
200,50,500,UseParallelGC,11.76225176,257,19,25,63,153,-1.624558137
200,50,500,UseSerialGC,11.63788664,235,19,26,72,141,-1.390886376
200,50,1024,UseConcMarkSweepGC,11.71180071,245,17,20,33,139,-2.892488463
200,50,1024,UseG1GC,12.50732051,206,17,21,31,127,-3.117872373
200,50,1024,UseParallelGC,11.41963342,193,16,19,28,53,-3.221631034
200,50,1024,UseSerialGC,11.64855065,200,16,19,30,97,-2.926715933
200,50,4096,UseConcMarkSweepGC,12.04124204,301,20,28,67,165,-1.680283101
200,50,4096,UseG1GC,12.10834411,252,19,24,52,150,-1.882954499
200,50,4096,UseParallelGC,11.25210525,212,18,24,53,136,-1.911192458
200,50,4096,UseSerialGC,11.24480124,226,18,24,52,143,-1.926415742
200,1024,200,UseConcMarkSweepGC,12.25354525,252,18,22,55,173,-1.872594259
200,1024,200,UseG1GC,13.25555726,249,19,24,48,167,-2.355043768
200,1024,200,UseParallelGC,11.67464867,244,17,21,35,159,-3.005876798
200,1024,200,UseSerialGC,12.04060004,188,17,20,31,106,-3.842449833
200,1024,500,UseConcMarkSweepGC,12.42380042,223,20,28,84,161,-1.391399303
200,1024,500,UseG1GC,13.34490634,282,22,31,77,165,-1.641745382
200,1024,500,UseParallelGC,12.12959413,272,20,28,78,172,-1.493626327
200,1024,500,UseSerialGC,12.52243052,268,21,30,84,159,-1.426575374
200,1024,1024,UseConcMarkSweepGC,12.72206472,327,21,29,78,180,-1.516336231
200,1024,1024,UseG1GC,13.27516328,261,22,29,72,184,-1.707880143
200,1024,1024,UseParallelGC,11.74442874,231,19,26,61,159,-1.859184315
200,1024,1024,UseSerialGC,11.93848794,260,20,28,73,146,-1.616168545
200,1024,4096,UseConcMarkSweepGC,12.74559475,211,18,27,37,147,-3.080770908
200,1024,4096,UseG1GC,12.63407663,175,17,21,31,63,-3.580569065
200,1024,4096,UseParallelGC,11.82198382,222,16,19,28,45,-3.828920002
200,1024,4096,UseSerialGC,11.72549873,191,16,19,29,62,-3.429205051
200,10240,200,UseConcMarkSweepGC,19.57016357,371,33,47,100,200,-2.041487421
200,10240,200,UseG1GC,21.01097101,311,35,48,93,204,-2.280880694
200,10240,200,UseParallelGC,19.28514829,284,32,47,102,196,-1.913185956
200,10240,200,UseSerialGC,19.57977458,278,33,48,100,184,-2.002355511
200,10240,500,UseConcMarkSweepGC,18.83981584,331,33,49,103,180,-1.854600671
200,10240,500,UseG1GC,20.25942626,306,34,51,111,198,-1.892998906
200,10240,500,UseParallelGC,19.36758437,386,34,49,97,195,-2.082478706
200,10240,500,UseSerialGC,20.56373256,337,34,49,96,204,-2.191967212
200,10240,1024,UseConcMarkSweepGC,18.63364663,346,34,53,120,196,-1.54919575
200,10240,1024,UseG1GC,19.45359045,470,33,50,104,188,-1.939800974
200,10240,1024,UseParallelGC,17.999008,401,33,53,112,200,-1.602700095
200,10240,1024,UseSerialGC,18.46605447,384,33,52,110.02,188,-1.699169133
200,10240,4096,UseConcMarkSweepGC,19.97262597,322,36,50,108,214,-1.968067934
200,10240,4096,UseG1GC,18.68644969,393,34,54,115,208,-1.653606839
200,10240,4096,UseParallelGC,17.55513556,410,31,49,111,195,-1.588479853
200,10240,4096,UseSerialGC,17.78604879,369,33,52,110,194,-1.705288613
500,50,200,UseConcMarkSweepGC,28.3990324,194,35,39,55,80,-4.27106998
500,50,200,UseG1GC,31.43325343,181,39,43,56,78,-5.33985713
500,50,200,UseParallelGC,27.51630952,113,33,36,51,76,-4.618637008
500,50,200,UseSerialGC,29.26533127,223,36,39,55,84,-4.287116465
500,50,500,UseConcMarkSweepGC,29.59481359,228,37,40,54,86,-4.588127717
500,50,500,UseG1GC,30.98932299,200,38,42,58,82,-4.443338633
500,50,500,UseParallelGC,28.73471073,126,35,38,50,73,-5.070038492
500,50,500,UseSerialGC,29.13751714,136,37,40,53,84,-4.741416424
500,50,1024,UseConcMarkSweepGC,28.46288446,184,35,38,50,76,-5.216006987
500,50,1024,UseG1GC,31.12386312,175,38,41,55,81,-4.482591381
500,50,1024,UseParallelGC,28.38388338,123,34,37,50,75,-4.686489465
500,50,1024,UseSerialGC,29.10527411,142,36,39,52,74,-4.655785763
500,50,4096,UseConcMarkSweepGC,29.3996494,326,47,57,97,227,-2.848216193
500,50,4096,UseG1GC,30.08916409,318,41,48,72,126,-3.710160093
500,50,4096,UseParallelGC,28.36451236,113,33,36,49,74,-4.834216253
500,50,4096,UseSerialGC,28.08789109,113,33,35,48,74,-4.633020313
500,1024,200,UseConcMarkSweepGC,30.14264814,158,37,43,65,92,-3.808687482
500,1024,200,UseG1GC,33.52328152,202,41,45,62,83,-5.060865879
500,1024,200,UseParallelGC,30.25195725,254,37,42,63,89,-3.993071248
500,1024,200,UseSerialGC,30.4032984,218,37,41,62,97,-3.918291228
500,1024,500,UseConcMarkSweepGC,30.001972,409,48,60,107,243.002,-2.708511999
500,1024,500,UseG1GC,32.02096502,401,51,65,107,183,-2.998390613
500,1024,500,UseParallelGC,29.88053388,254,37,41,62,89,-3.943889136
500,1024,500,UseSerialGC,30.74026474,262,38,42,65,106,-3.851866062
500,1024,1024,UseConcMarkSweepGC,28.82507683,311,45,58,98,201,-2.876725862
500,1024,1024,UseG1GC,32.18851019,567,51,64,111,235,-2.821974458
500,1024,1024,UseParallelGC,27.68890269,426,43,55,90,188,-2.980127635
