Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (ms),per50_latency (ms),per90_latency (ms),per95_latency (ms),per98_latency (ms),per99_latency (ms),per99.5_latency (ms),per99.9_latency (ms),per99.95_latency (ms),per99.99_latency (ms)
100,541,4g,UseG1GC,0.00437244,0.00457355,0.00521342,0.005352095,0.008341202,0.014862803,0.02841361,0.0353624179,0.03542600895,0.03547688179
100,541,4g,UseParallelGC,0.0022818,0.0024459,0.00271386,0.002859,0.003087552,0.008795144,0.012419402,0.040322488,0.0795440722,0.09023017444
100,541,4g,UseSerialGC,0.0039295,0.0040515,0.004187,0.0042372,0.00436262,0.00456466,0.017611425,0.032256717,0.0704533165,0.1328997852
100,7919,100m,UseConcMarkSweepGC,0.0015762,0.0017709,0.0020712,0.0021493,0.002361124,0.002738328,0.003315968,0.006356836,0.0079163752,0.01999901552
100,7919,100m,UseG1GC,0.0023763,0.00251285,0.0029805,0.0030528,0.00316793,0.00345235,0.004001135,0.008904779,0.01306157875,0.08959412595
100,7919,100m,UseParallelGC,0.0020659,0.0021967,0.0024501,0.0025454,0.002845464,0.003034866,0.003267898,0.0081284679,0.04544479,0.04762280023
100,7919,100m,UseSerialGC,0.0029222,0.0031088,0.0034296,0.0035444,0.00369292,0.00381002,0.00399102,0.006411382,0.007972689,0.0690246406
100,7919,200m,UseConcMarkSweepGC,0.0017926,0.0020386,0.0023345,0.00248175,0.002683892,0.003129638,0.003614976,0.006968261,0.0099010621,0.0224559238
100,7919,200m,UseG1GC,0.0025993,0.0027143,0.0031999,0.00327434,0.003412204,0.003780052,0.004418234,0.0117604392,0.020940535,0.03333028332
100,7919,200m,UseParallelGC,0.00233011,0.0024759,0.00272209,0.00282088,0.002984798,0.003241553,0.003417018,0.0071800889,0.0088849803,0.0151524385
100,7919,200m,UseSerialGC,0.0035273,0.0036588,0.00386367,0.003942735,0.004045476,0.004149141,0.0042861525,0.007099902,0.00889463685,0.01271654889
100,7919,500m,UseConcMarkSweepGC,0.0022884,0.0024154,0.0028421,0.00291773,0.003104824,0.003490088,0.003988383,0.0080082344,0.0114409409,0.0331941587
100,7919,500m,UseG1GC,0.0028003,0.0029402,0.00340418,0.00348456,0.003605928,0.003783012,0.004989565,0.0298974526,0.031789706,0.0326581435
100,7919,500m,UseParallelGC,0.0022806,0.0023735,0.00259226,0.0026777,0.002893184,0.003114884,0.003287528,0.006628036,0.0157456098,0.03629467352
100,7919,500m,UseSerialGC,0.0037535,0.0038767,0.00405072,0.0041204,0.004221392,0.004309856,0.004600264,0.007894436,0.0125134712,0.03089606648
100,7919,1g,UseConcMarkSweepGC,0.0043972,0.00450185,0.00496654,0.005154915,0.005501368,0.005791041,0.006337729,0.0129737502,0.02531634575,0.04107202068
100,7919,1g,UseG1GC,0.003323,0.0034862,0.00402454,0.0041246,0.004311052,0.004930696,0.018024444,0.040895568,0.043007034,0.04548013888
100,7919,1g,UseParallelGC,0.00223327,0.00237195,0.00263523,0.0027047,0.002843618,0.00295766,0.0033408655,0.0147892902,0.0197367644,0.06191464965
100,7919,1g,UseSerialGC,0.00375618,0.0038793,0.0040734,0.0041471,0.004267012,0.004380708,0.004811796,0.0155857728,0.0289202887,0.06704316436
100,7919,4g,UseConcMarkSweepGC,0.01374142,0.01450105,0.01526407,0.015647585,0.0166018,0.017401336,0.019853872,0.0319406344,0.0354044942,0.05216525607
100,7919,4g,UseG1GC,0.00451396,0.0047425,0.00538038,0.00559441,0.007173898,0.011430613,0.0261050025,0.0359631269,0.03713216345,0.03806739269
100,7919,4g,UseParallelGC,0.00231561,0.0024765,0.00274509,0.00282489,0.003010702,0.009069114,0.013830957,0.0394650776,0.0459924637,0.06698697274
100,7919,4g,UseSerialGC,0.0039812,0.0041246,0.0043238,0.0044256,0.00456352,0.0049759,0.01742448,0.022685628,0.032325274,0.1188234388
200,541,100m,UseConcMarkSweepGC,0.0016637,0.0019206,0.0023008,0.0024197,0.002760324,0.003115291,0.003429901,0.0068280794,0.01112958475,0.02255654833
200,541,100m,UseG1GC,0.00064903,0.00314405,0.11616069,0.16609561,0.20029137,0.228844253,0.2516584615,0.3106996927,0.3291738019,0.4560914926
200,541,100m,UseParallelGC,0.0020929,0.0022922,0.00265186,0.0028502,0.003211664,0.003369232,0.003627288,0.0462419312,0.0479873472,0.05072362144
200,541,100m,UseSerialGC,0.0029152,0.0032288,0.00358637,0.003683885,0.003848814,0.004036928,0.0043182285,0.0085847119,0.01143130645,0.07578870771
200,541,200m,UseConcMarkSweepGC,0.0020226,0.002166,0.00256503,0.0026828,0.002887092,0.003310168,0.003649174,0.0083840291,0.01066773175,0.02790443814
200,541,200m,UseG1GC,0.0030652,0.0032151,0.0037071,0.0037983,0.00393112,0.00419086,0.00498309,0.010900978,0.017623746,0.0275034894
200,541,200m,UseParallelGC,0.0023815,0.0026835,0.0031002,0.003270765,0.003511592,0.003679849,0.0038572095,0.0079997217,0.0117064876,0.04806884593
200,541,200m,UseSerialGC,0.0035019,0.0036693,0.00418626,0.00427543,0.004395808,0.004569752,0.005029931,0.0107368776,0.0141418254,0.04104225254
200,541,500m,UseConcMarkSweepGC,0.0028176,0.0029614,0.0034768,0.0036688,0.00420776,0.0046267,0.00495396,0.008066988,0.012532048,0.0359601084
200,541,500m,UseG1GC,0.0035087,0.0036596,0.0041668,0.00430215,0.0045829,0.00498971,0.0056566725,0.0182553645,0.026716146,0.0368896256
200,541,500m,UseParallelGC,0.0026995,0.0028226,0.00314558,0.00329966,0.003679748,0.003806554,0.004157995,0.0092127656,0.0159553483,0.03341578012
200,541,500m,UseSerialGC,0.0042318,0.0043925,0.00458696,0.00467046,0.0048057,0.004989656,0.005442768,0.0141895396,0.01611034,0.02945512592
200,541,1g,UseConcMarkSweepGC,0.00501066,0.0051022,0.00534832,0.00554432,0.006028248,0.006537944,0.007312196,0.012380065,0.0224448326,0.0476320588
200,541,1g,UseG1GC,0.00392385,0.00408055,0.00464525,0.0048355,0.00522408,0.005771845,0.0079744975,0.0298389435,0.04572591025,0.0545078579
200,541,1g,UseParallelGC,0.002632,0.0027675,0.00308384,0.00319964,0.003518608,0.003668556,0.004270456,0.0155679676,0.0246775167,0.06966424175
200,541,1g,UseSerialGC,0.00425128,0.004403,0.0046087,0.0047014,0.004856852,0.005033673,0.005446759,0.0121778841,0.0245910083,0.02968632578
200,541,4g,UseConcMarkSweepGC,0.01457612,0.0153299,0.01614068,0.016449125,0.017075768,0.0177031,0.019285732,0.0306006017,0.03947400205,0.06516106164
200,541,4g,UseG1GC,0.00504514,0.0052836,0.0059038,0.00635081,0.008727192,0.012799238,0.029452783,0.0404625214,0.0555877607,0.06768795214
200,541,4g,UseParallelGC,0.0026473,0.0028648,0.0033176,0.00339995,0.00351126,0.01145952,0.0146094,0.026669222,0.052911937,0.0715801474
200,541,4g,UseSerialGC,0.00465111,0.0048025,0.00500986,0.005096385,0.005296986,0.00584426,0.022581791,0.0362807242,0.0657520402,0.120427091
200,7919,100m,UseConcMarkSweepGC,0.0017995,0.0020478,0.0024723,0.00259748,0.002909896,0.00318664,0.003509792,0.0071807064,0.0120031808,0.025114188
200,7919,100m,UseG1GC,0.0006977,0.0034611,0.1261528,0.22745996,0.29187982,0.339587928,0.366151324,0.4342278976,0.4732112388,0.6473255595
200,7919,100m,UseParallelGC,0.002293,0.0024847,0.0028657,0.0030387,0.003252514,0.003430741,0.004035827,0.0478196768,0.04897286795,0.05475191717
200,7919,100m,UseSerialGC,0.0032899,0.0035149,0.00387144,0.0040356,0.004297788,0.0045407,0.004843324,0.0086808672,0.012340952,0.07802320108
200,7919,200m,UseConcMarkSweepGC,0.0020308,0.0021975,0.00259686,0.00275749,0.00318,0.0035192,0.003797974,0.0074253764,0.0117893879,0.03342970158
200,7919,200m,UseG1GC,0.00313375,0.0032834,0.0037726,0.003882,0.00408012,0.00445889,0.005176365,0.011881754,0.01909161075,0.0330013561
200,7919,200m,UseParallelGC,0.002398,0.0027194,0.00305552,0.00316993,0.003405504,0.003678426,0.003913602,0.0084509304,0.0111824199,0.05026910624
200,7919,200m,UseSerialGC,0.0036418,0.0038687,0.00435414,0.00447972,0.004655024,0.004821228,0.005113252,0.0113146304,0.0129044968,0.02838259872
200,7919,500m,UseConcMarkSweepGC,0.0028493,0.0030023,0.0035265,0.00367495,0.0040851,0.00458005,0.0051074,0.010232325,0.0142197475,0.034090312
200,7919,500m,UseG1GC,0.00350738,0.0036449,0.00416134,0.0042977,0.004590308,0.00505982,0.006022724,0.016670276,0.0271303528,0.03604772224
200,7919,500m,UseParallelGC,0.0027253,0.00287765,0.00336157,0.003468385,0.003586554,0.003703285,0.0043151265,0.0098848234,0.0137189411,0.02552158798
200,7919,500m,UseSerialGC,0.0042222,0.0043922,0.0046326,0.004738675,0.00489002,0.005085285,0.005487845,0.0133659065,0.019295493,0.03658557385
200,7919,1g,UseConcMarkSweepGC,0.0049144,0.00502305,0.00533236,0.005597345,0.006219338,0.006600212,0.0073299805,0.0169307514,0.031672511,0.06922016528
200,7919,1g,UseG1GC,0.0038574,0.0040109,0.0045379,0.004697,0.00495494,0.00529518,0.00776413,0.027279316,0.031539056,0.0388736364
200,7919,1g,UseParallelGC,0.0026824,0.0028193,0.003282,0.003451105,0.003587624,0.00371107,0.0047530895,0.0180375302,0.0224771522,0.04821834185
200,7919,1g,UseSerialGC,0.00470039,0.00489005,0.0051533,0.005271025,0.0054328,0.005677333,0.006285865,0.0142701017,0.02249751375,0.06049572721
200,7919,4g,UseConcMarkSweepGC,0.01421498,0.0149543,0.01568062,0.01599915,0.016733552,0.01745485,0.019213546,0.0293714958,0.04012474,0.05202437176
200,7919,4g,UseG1GC,0.00508486,0.00528095,0.00593487,0.00624935,0.008957052,0.012740753,0.0236754895,0.0350396035,0.04402730175,0.05121746035
