Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (s),per50_latency (s),per90_latency (s),per95_latency (s),per98_latency (s),per99_latency (s),per99.5_latency (s),per99.9_latency (s),per99.95_latency (s),per99.99_latency (s)
50,10240,1g,UseSerialGC,0.00424242,0.0047412,0.00529006,0.00545784,0.00569788,0.00586918,0.006202374,0.010865273,0.0172555433,0.03165895686
50,10240,4g,UseConcMarkSweepGC,0.01471084,0.0156581,0.01647404,0.01678958,0.017330928,0.018263916,0.020507858,0.0257816932,0.0297731283,0.04911230124
50,10240,4g,UseG1GC,0.00470007,0.0051541,0.00593092,0.006310775,0.00691798,0.009912552,0.0285586495,0.0392183265,0.04225942,0.04656929472
50,10240,4g,UseParallelGC,0.00261474,0.002913,0.00339086,0.00360925,0.004089576,0.004725194,0.006234759,0.0137834818,0.0291336875,0.0735061002
50,10240,4g,UseSerialGC,0.0044638,0.00497085,0.0056092,0.0059093,0.00638001,0.006786015,0.007483715,0.0184968765,0.02556345625,0.1211398035
100,50,100m,UseConcMarkSweepGC,0.0014243,0.0016322,0.0019514,0.00203422,0.002171732,0.002404128,0.002716848,0.0052261244,0.0078093924,0.02116234656
100,50,100m,UseG1GC,0.0023013,0.0024362,0.0028944,0.00296575,0.00306505,0.003312,0.0038372375,0.0084971,0.01159728125,0.08047651875
100,50,100m,UseParallelGC,0.0018993,0.0020551,0.0022916,0.0023759,0.002599,0.002793712,0.003023004,0.0077050688,0.0446877872,0.04638201408
100,50,100m,UseSerialGC,0.0025272,0.0027149,0.0029934,0.00309715,0.0032619,0.00339921,0.0035636825,0.0065513065,0.00804213275,0.06763346875
100,50,200m,UseConcMarkSweepGC,0.001805,0.001967,0.0023063,0.0024004,0.002560764,0.002944072,0.003290528,0.005809266,0.0087097083,0.02835863096
100,50,200m,UseG1GC,0.00282481,0.0029474,0.0034222,0.003505535,0.003699918,0.004053276,0.0046954985,0.0100014574,0.0145513162,0.02416467488
100,50,200m,UseParallelGC,0.0023332,0.0024888,0.0027338,0.002819055,0.002961746,0.003211182,0.003428919,0.006041714,0.00805521845,0.01639282277
100,50,200m,UseSerialGC,0.0035638,0.0036917,0.00382969,0.0038791,0.003950398,0.0040199,0.0041539675,0.0066771395,0.00948879475,0.01330398266
100,50,500m,UseConcMarkSweepGC,0.002692,0.0028257,0.00331667,0.003414185,0.003556362,0.003918031,0.004409086,0.006747626,0.0108166023,0.03137739971
100,50,500m,UseG1GC,0.00299978,0.0031453,0.00362471,0.00370721,0.00383677,0.004090138,0.00488091,0.0216828649,0.02729219945,0.04151526959
100,50,500m,UseParallelGC,0.0022971,0.0024299,0.00271918,0.00281498,0.002930188,0.0030241,0.003181449,0.00797367,0.0118578585,0.03165587482
100,50,500m,UseSerialGC,0.0037909,0.003918,0.00406218,0.0041187,0.004202576,0.004285988,0.004482444,0.0089476256,0.013787412,0.02670276592
100,50,1g,UseConcMarkSweepGC,0.0048579,0.0049795,0.00522128,0.00532769,0.005845784,0.006184442,0.006713982,0.0157543634,0.0298066869,0.0613035936
100,50,1g,UseG1GC,0.00326221,0.00341005,0.00393958,0.004044985,0.004195738,0.004607967,0.0133597875,0.0302185299,0.0366567044,0.04187373374
100,50,1g,UseParallelGC,0.00226469,0.00236035,0.0025329,0.002603425,0.002735014,0.003063012,0.0032097685,0.0109543502,0.01801046835,0.05152679496
100,50,1g,UseSerialGC,0.0037505,0.0038651,0.00400644,0.0040607,0.004144576,0.004253746,0.004445014,0.0146393324,0.0177277621,0.06806548302
100,50,4g,UseConcMarkSweepGC,0.0142541,0.014889,0.0155136,0.01576055,0.0163899,0.0171058,0.018270645,0.024886546,0.0315609695,0.0572889623
100,50,4g,UseG1GC,0.0044726,0.0046953,0.0053335,0.0054627,0.0168081,0.03212846,0.0333169,0.044755216,0.045317008,0.0457664416
100,50,4g,UseParallelGC,0.0023482,0.0025154,0.0027633,0.002898,0.00306522,0.0084585,0.010586655,0.026681257,0.04767498,0.084487556
100,50,4g,UseSerialGC,0.0040238,0.0041625,0.0043236,0.00439064,0.004561788,0.004947232,0.01808616,0.0412628256,0.0728297264,0.1332829059
100,1024,100m,UseConcMarkSweepGC,0.0013554,0.0016261,0.0019365,0.0020483,0.002248,0.00248194,0.00291784,0.004822818,0.005989917,0.0141647186
100,1024,100m,UseG1GC,0.0023573,0.0025764,0.0030966,0.0032859,0.003698508,0.004284651,0.005430067,0.0167562787,0.1659059709,0.2494139341
100,1024,100m,UseParallelGC,0.001909,0.0021269,0.00241601,0.002509055,0.0026453,0.002809931,0.0032020565,0.0373050951,0.0457933668,0.04731796777
100,1024,100m,UseSerialGC,0.00248315,0.002758,0.0031837,0.003333575,0.0035532,0.003732085,0.0039938475,0.0059115385,0.007096639,0.01153538695
100,1024,200m,UseConcMarkSweepGC,0.0018647,0.0021246,0.0024232,0.002504095,0.0026324,0.002824516,0.0032398295,0.0051428301,0.00629845215,0.01503783641
100,1024,200m,UseG1GC,0.0025907,0.0027951,0.0032994,0.0034264,0.003621144,0.00388181,0.004543572,0.0090574796,0.014480375,0.02949453062
100,1024,200m,UseParallelGC,0.0021986,0.0024263,0.0027145,0.0028178,0.002999296,0.003208244,0.003419092,0.0058550164,0.0098962844,0.04610382804
100,1024,200m,UseSerialGC,0.0030575,0.00331,0.0037642,0.003872405,0.004015102,0.0041375,0.004301002,0.0064153396,0.00782353215,0.01533298579
100,1024,500m,UseConcMarkSweepGC,0.00241943,0.0028643,0.00333984,0.0034624,0.003643878,0.0038858,0.0042470535,0.005963834,0.0076812909,0.02392087642
100,1024,500m,UseG1GC,0.00302294,0.0032461,0.0037801,0.00388184,0.004035232,0.004266336,0.005236624,0.009659168,0.0129553568,0.03063531248
100,1024,500m,UseParallelGC,0.0024968,0.0026833,0.0029734,0.0030828,0.003324588,0.0035354,0.003712972,0.0061731012,0.0087265419,0.02159041996
100,1024,500m,UseSerialGC,0.0038117,0.0040428,0.0043818,0.00450419,0.004659288,0.004792549,0.0049707225,0.0082027677,0.0112435203,0.02395914812
100,1024,1g,UseConcMarkSweepGC,0.00488488,0.0050408,0.0053265,0.00548562,0.00598668,0.006435336,0.007102126,0.0113521608,0.0213741662,0.043096452
100,1024,1g,UseG1GC,0.003428,0.0036435,0.00420372,0.00431404,0.004568436,0.005069984,0.00656766,0.0152703076,0.0351537544,0.08584916056
100,1024,1g,UseParallelGC,0.0024203,0.00262325,0.0029413,0.0030354,0.00317567,0.003326405,0.0038524125,0.0139711625,0.01851979575,0.04401862885
100,1024,1g,UseSerialGC,0.00399045,0.0041881,0.00454755,0.004685775,0.00488345,0.00517335,0.0062973125,0.0147660425,0.02187600175,0.0532369935
100,1024,4g,UseConcMarkSweepGC,0.01446421,0.0152441,0.01610179,0.01653398,0.01739734,0.018315996,0.0203543905,0.0300157164,0.04129387145,0.06343674226
100,1024,4g,UseG1GC,0.00502783,0.00533615,0.00599531,0.00625702,0.007287658,0.010667428,0.0201347225,0.0409145291,0.0474700504,0.04940033008
100,1024,4g,UseParallelGC,0.0025846,0.00277835,0.003076,0.00322295,0.00350015,0.003764355,0.010904095,0.02546459,0.0463067785,0.0772178688
100,1024,4g,UseSerialGC,0.00453148,0.0048744,0.00531112,0.00547252,0.005721264,0.006035882,0.008154634,0.028262942,0.04055910165,0.1534519236
100,10240,100m,UseConcMarkSweepGC,0.0018189,0.0022476,0.0032276,0.00366387,0.004343468,0.004985306,0.005957638,0.0165834992,0.0183920055,0.08788440508
100,10240,100m,UseG1GC,0.0028582,0.0036162,0.0044094,0.00506014,0.006514182,0.006719682,0.007748564,0.1311261866,0.1650557911,0.2060854015
100,10240,100m,UseParallelGC,0.0021328,0.0023837,0.0028372,0.0032295,0.004243076,0.005423884,0.046649816,0.0496342324,0.050833386,0.05447622308
100,10240,100m,UseSerialGC,0.0031836,0.0036149,0.004123,0.0043046,0.004550182,0.0047587,0.0050505775,0.073673565,0.0761561438,0.07979220167
100,10240,200m,UseConcMarkSweepGC,0.00218156,0.0027555,0.00339548,0.00364947,0.004161152,0.004769132,0.00553131,0.0091502634,0.0142288624,0.02331985678
100,10240,200m,UseG1GC,0.0030007,0.0037428,0.0046587,0.00499904,0.005649504,0.006599908,0.007369192,0.0115027708,0.0174964494,0.193846729
100,10240,200m,UseParallelGC,0.00265118,0.0031416,0.00377472,0.0039794,0.004312632,0.00476372,0.00812697,0.0501311316,0.0515861324,0.05527583988
100,10240,200m,UseSerialGC,0.0037709,0.0045654,0.0052809,0.0055193,0.005806518,0.006044403,0.0062898885,0.0082434983,0.00913733985,0.01727337658
100,10240,500m,UseConcMarkSweepGC,0.00381718,0.0042282,0.00481882,0.00502325,0.005357364,0.00570151,0.006184355,0.0087021838,0.0108982583,0.0291824755
100,10240,500m,UseG1GC,0.00398463,0.0045621,0.0053592,0.005666655,0.006181508,0.006757277,0.0073116915,0.0116200829,0.01712188815,0.03501636272
100,10240,500m,UseParallelGC,0.003207,0.004126,0.0051397,0.00545812,0.0058391,0.006157432,0.006529536,0.0343109816,0.0505498704,0.0577742484
100,10240,500m,UseSerialGC,0.0045425,0.0053127,0.00629574,0.00655058,0.00685802,0.007064332,0.007280202,0.0088411124,0.0100075868,0.02299161708
100,10240,1g,UseConcMarkSweepGC,0.00505419,0.00545375,0.00617748,0.00655043,0.007128438,0.007720992,0.0084354525,0.0215480635,0.02561962765,0.0355855011
100,10240,1g,UseG1GC,0.00479144,0.0056192,0.00692371,0.00742996,0.00814205,0.009014241,0.0102444155,0.0160681622,0.0248328844,0.04446890037
100,10240,1g,UseParallelGC,0.003408,0.004031,0.00475748,0.00501284,0.005347548,0.005577812,0.00591732,0.00785778,0.0117938886,0.03170018132
100,10240,1g,UseSerialGC,0.0054233,0.0062558,0.00727082,0.00763309,0.008116952,0.008462866,0.008961287,0.0123122872,0.0139885364,0.02696788076
100,10240,4g,UseConcMarkSweepGC,0.01512588,0.0160011,0.01705712,0.01746996,0.018201024,0.019178592,0.020661648,0.0255010032,0.0304020304,0.04901668784
100,10240,4g,UseG1GC,0.00581174,0.0065166,0.00785762,0.00846391,0.00964028,0.010702912,0.013180267,0.0340192412,0.0343399424,0.0403074064
100,10240,4g,UseParallelGC,0.00330233,0.0038647,0.00466096,0.005041925,0.005701372,0.006352284,0.008600127,0.022394953,0.03139226535,0.08542059221
100,10240,4g,UseSerialGC,0.0060088,0.0070225,0.00839865,0.00891605,0.00961613,0.010361585,0.011755375,0.033920204,0.037317849,0.1112500851
